"title,","doi,",authors
Efficient Bitruss Decomposition without Butterfly Enumeration,https://doi.org/10.1145/3711896.3736921,"Fengnian Lin (School of Computing and Information Systems, The University of Melbourne); Boyu Ruan (Computer Science and Engineering , The Hong Kong University of Science and Technology); Junhao Gan (School of Computing and Information Systems, The University of Melbourne); Lei Li (DSA, The Hong Kong University of Science and Technology (Guangzhou))"
Efficient End-to-end Language Model Fine-tuning on Graphs,https://doi.org/10.1145/3711896.3736922,"Rui Xue (Electrical and Computer Engineering, North Carolina State University); Xipeng Shen (North Carolina State University); Ruozhou Yu (North Carolina State University); Xiaorui Liu (North Carolina State University)"
Efficient Heuristics Generation for Solving Combinatorial Optimization Problems Using Large Language Models,https://doi.org/10.1145/3711896.3736923,"Xuan Wu (College of Computer Science and Technology, Jilin University); Di Wang (LILY Research Centre, Nanyang Technological University); Chunguo Wu (Key Laboratory of Symbolic Computation and Knowledge Engineering of Ministry of Education, Jilin University); Lijie Wen (School of Software, Tsinghua University); Chunyan Miao (LILY Research Centre, Nanyang Technological University); Yubin Xiao (College of Computer Science and Technology, Jilin University); You Zhou (College of Software, Jilin University)"
Efficient Identity and Position Graph Embedding via Spectral-Based Random Feature Aggregation,https://doi.org/10.1145/3711896.3736924,"Meng Qin (Department of Strategic & Advanced Interdisciplinary Research, Pengcheng Laboratory); Jiahong Liu (The Chinese University of Hong Kong); Irwin King (The Chinese University of Hong Kong)"
Efficient Sphere-Effect Based Information Diffusion Prediction on Large-scale Social Networks,https://doi.org/10.1145/3711896.3736925,Zihan Feng (Tianjin University); Yajun Yang (Tianjin University); Xin Huang (Hong Kong Baptist University); Hong Gao (Zhejiang Normal University); Liping Jing (Beijing Jiaotong University); Qinghua Hu (Tianjin University)
A Neuro-Symbolic Approach to Symbol Grounding for ALC-Ontologies,https://doi.org/10.1145/3711896.3736926,"Xuan Wu (National Key Laboratory for Novel Software Technology, Nanjing University,School of Artificial Intelligence, Nanjing University); Yizheng Zhao (National Key Laboratory for Novel Software Technology, Nanjing University,School of Artificial Intelligence, Nanjing University)"
Embed Progressive Implicit Preference in Unified Space for Deep Collaborative Filtering,https://doi.org/10.1145/3711896.3736927,"Zhongjin Zhang (Central South University); Yu Liang (Central South University); Cong Fu (Shopee Pte. Ltd); Yuxuan Zhu (Shopee Pte. Ltd); Kun Wang (Shopee Pte. Ltd); Yabo Ni (Nanyang Technological University); Anxiang Zeng (SCSE, Nanyang Technological University); Jiazhi Xia (Central South University)"
Empirical Bayes Selection for Value Maximization,https://doi.org/10.1145/3711896.3736928,"Dominic Coey (Central Applied Science, Meta); Kenneth Hung (Central Applied Science, Meta)"
Empowering Economic Simulation for Massively Multiplayer Online Games through Generative Agent-Based Modeling,https://doi.org/10.1145/3711896.3736929,"Bihan Xu (State Key Laboratory of Cognitive Intelligence, University of Science and Technology of China); Shiwei Zhao (NetEase Fuxi AI Lab); Runze Wu (NetEase Fuxi AI Lab); Zhenya Huang (State Key Laboratory of Cognitive Intelligence, University of Science and Technology of China,Institute of Artificial Intelligence, Hefei Comprehensive National Science Centerce); Jiawei Wang (Hangzhou Institute for Advanced Study, University of the Chinese Academy of Sciences); Zhipeng Hu (NetEase Fuxi AI Lab); Kai Wang (NetEase Fuxi AI Lab); Haoyu Liu (NetEase Fuxi AI Lab); Tangjie Lv (NetEase Fuxi AI Lab); Le Li (NetEase Fuxi AI Lab); Changjie Fan (NetEase Fuxi AI Lab); Xin Tong (National University of Singapore); Jiangze Han (University of British Columbia)"
Empowering Graph-based Approximate Nearest Neighbor Search with Adaptive Awareness Capabilities,https://doi.org/10.1145/3711896.3736930,"Jiancheng Ruan (Zhejiang University); Tingyang Chen (Zhejiang University); Renchi Yang (Hong Kong Baptist University); Xiangyu Ke (Zhejiang University,Zhejiang Key Laboratory of Big Data Intelligent Computing); Yunjun Gao (Zhejiang University,Zhejiang Key Laboratory of Big Data Intelligent Computing)"
Energy-Based Models for Predicting Mutational Effects on Proteins,https://doi.org/10.1145/3711896.3736931,"Patrick Soga (Computer Science, University of Virginia); Zhenyu Lei (Electrical and Computer Engineering, University of Virginia); Yinhan He (Electrical and Computer Engineering, University of Virginia); Camille L. Bilodeau (Chemical Engineering, University of Virginia); Jundong Li (Electrical and Computer Engineering, University of Virginia)"
Engagement-Driven Content Generation with Large Language Models,https://doi.org/10.1145/3711896.3736932,"Erica Coppolillo (Department of Computer Science, University of Calabria,ICAR-CNR); Federico Cinus (CENTAI); Marco Minici (ICAR-CNR); Francesco Bonchi (CENTAI); Giuseppe Manco (ICAR-CNR)"
"Enhanced Subgraph Learning in 2-FWL GNNs via Local Connectivity, Spectral, and Distance Encodings",https://doi.org/10.1145/3711896.3736933,"Rongqin Chen (University of Macau); Yan Li (Shenzhen Polytechnic University); Dan Wu (Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences); Fan Mo (ZOZO Research,Waseda University); Shenghui Zhang (University of Macau); Pak Lon Ip (University of Macau); Hoi Cheong Iam (University of Macau); Ye Li (Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences); Leong Hou U (University of Macau)"
Enhancer: A Distribution-Aware Framework with Temporal-Relational Meta-Learning for Stock Prediction,https://doi.org/10.1145/3711896.3736934,"Weijun Chen (Key Lab of High Confidence Software Technologies (MOE), School of Computer Science, Peking University,Research Center for Computational Social Science, Peking University); Shun Li (University of International Relations); Heyuan Wang (Key Lab of High Confidence Software Technologies (MOE), School of Computer Science, Peking University,Research Center for Computational Social Science, Peking University); Tengjiao Wang (Key Lab of High Confidence Software Technologies (MOE), School of Computer Science, Peking University,Research Center for Computational Social Science, Peking University)"
Enhancing Generalization in Large-Scale HCVRP: A Rank-Augmented Neural Solver,https://doi.org/10.1145/3711896.3736935,"Qidong Liu (School of Computer Science and Artificial Intelligence, Zhengzhou University); Jiurui Lian (School of Computer Science and Artificial Intelligence, Zhengzhou University); Chaoyue Liu (School of Computer Science and Artificial Intelligence, Zhengzhou University); Zhiguang Cao (School of Computing and Information Systems, Singapore Management University)"
Enhancing Homophily-Heterophily Separation: Relation-Aware Learning in Heterogeneous Graphs,https://doi.org/10.1145/3711896.3736936,"Ziyu Zheng (School of Computer Science and Technology, Xidian University); Yaming Yang (School of Computer Science and Technology, Xidian University); Ziyu Guan (School of Computer Science and Technology, Xidian University); Wei Zhao (School of Computer Science and Technology, Xidian University); Weigang Lu (School of Computer Science and Technology, Xidian University)"
Enhancing Large Language Models for Mobility Analytics with Semantic Location Tokenization,https://doi.org/10.1145/3711896.3736937,Yile Chen (Nanyang Technological University); Yicheng Tao (Southern University of Science and Technology); Yue Jiang (Nanyang Technological University); Shuai Liu (Nanyang Technological University); Han Yu (Nanyang Technological University); Gao Cong (Nanyang Technological University)
Enhancing Microservices Anomaly Detection via Multimodal Data Fusion in the Wavelet Domain and Spatiotemporal Graph-based Diffusion Probabilistic Model,https://doi.org/10.1145/3711896.3736938,"Kaiqi Ding (School of CS, Peking University); Yuanmu Ma (Beijing Institute of Technology); Zijian Song (School of CS, Peking University); Kaigui Bian (School of CS, Peking University)"
Equivariant and Invariant Message Passing for Global Subseasonal-to-seasonal Forecasting,https://doi.org/10.1145/3711896.3736939,"Yang Liu (The Hong Kong University of Science and Technology,The Chinese University of Hong Kong); Zinan Zheng (The Hong Kong University of Science and Technology (Guangzhou)); Yu Rong (DAMO Academy, Alibaba Group,Hupan Lab); Deli Zhao (DAMO Academy, Alibaba Group,Hupan Lab); Hong Cheng (The Chinese University of Hong"
An Efficient White-box LLM Watermarking for IP Protection on Online Market Platforms,https://doi.org/10.1145/3711896.3736841,"Si (Key Laboratory of Computing Power Network and Information Security, Ministry of Education, Shandong Computer Science Center (National Supercomputer Center in Jinan), Qilu University of Technology (Shandong Academy of Sciences)); Shuguang Yuan (State Key Laboratory of Cyberspace Security Defense, Institute of Information Engineering, Chinese Academy of Sciences); Xingyu Su (State Key Laboratory of Cyberspace Security Defense, Institute of Information Engineering, Chinese Academy of Sciences,School of Cyber Security, University of Chinese Academy of Science); Peizhuo Lv (College of Computing and Data Science, Nanyang Technological University); Weiji Xue (State Key Laboratory of Cyberspace Security Defense, Institute of Information Engineering, Chinese Academy of Sciences,School of Cyber Security, University of Chinese Academy of Science); Jing Yu (State Key Laboratory of Cyberspace Security Defense, Institute of Information Engineering, Chinese Academy of Sciences,School of Cyber Security, University of Chinese Academy of Science); Xiaojie Zhu (King Abdullah University of Science and Technology); Chi Chen (State Key Laboratory of Cyberspace Security Defense, Institute of Information Engineering, Chinese Academy of Sciences,School of Cyber Security, University of Chinese Academy of Science)"
An Optimization Framework for Differentially Private Sparse Fine-Tuning,https://doi.org/10.1145/3711896.3736842,"Mehdi Makni (Operations Research Center, Massachusetts Institute of Technology); Kayhan Behdin (LinkedIn); Gabriel Afriat (Operations Research Center, Massachusetts Institute of Technology); Zheng Xu (Google Research, Google); Sergei Vassilvitskii (Research, Google); Natalia Ponomareva (research, Google); Rahul Mazumder (Sloan School of Management, Massachusetts Institute of Technology); Hussein Hazimeh (Google)"
AnomalyGFM: Graph Foundation Model for Zero/Few-shot Anomaly Detection,https://doi.org/10.1145/3711896.3736843,"Hezhe Qiao (School of Computing and Information Systems, Singapore Management University); Chaoxi Niu (Australian Artificial Intelligence Institute, University of Technology Sydney); Ling Chen (Australian Artificial Intelligence Institute, University of Technology Sydney); Guansong Pang (School of Computing and Information Systems, Singapore Management University)"
Anytime Algorithms for Approximate Functional Dependencies,https://doi.org/10.1145/3711896.3736844,"Sanjivni Rana (University of Texas at Arlington); Junya Ogawa (University of Texas at Arlington); Suraj Shetiya (Indian Institute of Technology, Bombay); Senjuti Basu Roy (New Jersey Institute of Technology); Gautam Das (Computer Science and Engineering, University of Texas at Arlington)"
