title,doi,author,affiliation
Beyond Advertising: Mechanism Design for Platform-Wide Marketing Service “QuanZhanTui”,https://doi.org/10.1145/3711896.3736853,"['Ningyuan Li', 'Zhilin Zhang', 'Tianyan Long', 'Yuyao Liu', 'Rongquan Bai', 'Yurong Chen', 'Xiaotie Deng', 'Pengjie Wang', 'Chuan Yu', 'Jian Xu', 'Bo Zheng']","['CFCS, School of CS, Peking University', 'Alibaba Group', 'School of EECS, Peking University', 'Alibaba Group', 'Alibaba Group', 'Inria, Ecole Normale Supérieure, PSL Research University', 'CFCS, School of CS & CMAR, Institute for AI, Peking University', 'Alibaba Group', 'Alibaba Group', 'Alibaba Group', 'Alibaba Group']"
Beyond Fixed Variables: Expanding-variate Time Series Forecasting via Flat Scheme and Spatio-temporal Focal Learning,https://doi.org/10.1145/3711896.3736854,"['Minbo Ma', 'Kai Tang', 'Huan Li', 'Fei Teng', 'Dalin Zhang', 'Tianrui Li']","['School of Computing and Artificial Intelligence, Southwest Jiaotong University', 'School of Computing and Artificial Intelligence, Southwest Jiaotong University', 'Zhejiang University', 'School of Computing and Artificial Intelligence, Southwest Jiaotong University', 'Department of Computer Science, Aalborg University', 'School of Computing and Artificial Intelligence, Southwest Jiaotong University']"
Beyond Locations: A Motion Range-Aware Similarity Join,https://doi.org/10.1145/3711896.3736855,"['Ke Li', 'Lisi Chen', 'Shuo Shang', 'Christian Jensen', 'Panos Kalnis']","['University of Electronic Science and Technology of China', 'School of Computer Engineering, University of Electronic Science and Technology of China', 'CS, University of Electronic Science and Technology of China', 'Department of Computer Science, Aalborg University', 'KAUST']"
Bi-Modal Learning for Networked Time Series,https://doi.org/10.1145/3711896.3736856,"['Youngeun Nam', 'Jihye Na', 'Susik Yoon', 'Hwanjun Song', 'Jae-Gil Lee', 'Byung Suk Lee']","['School of Computing, Korea Advanced Institute of Science and Technology', 'School of Computing, Korea Advanced Institute of Science & Technology', 'Computer Science and Engineering, Korea University', 'Industrial and Systems Engineering, Korea Advanced Institute of Science & Technology', 'School of Computing, Korea Advanced Institute of Science & Technology', 'University of Vermont']"
Bias Detection via Maximum Subgroup Discrepancy,https://doi.org/10.1145/3711896.3736857,"['Jiří Němeček', 'Mark Kozdoba', 'Illia Kryvoviaz', 'Tomáš Pevný', 'Jakub Mareček']","['Czech Technical University in Prague, Faculty of Electrical Engineering', 'Technion', 'Czech Technical University in Prague, Faculty of Electrical Engineering', 'Czech Technical University in Prague, Faculty of Electrical Engineering', 'Czech Technical University in Prague, Faculty of Electrical Engineering']"
Bidirectional Diffusion Bridge Models,https://doi.org/10.1145/3711896.3736858,"['Duc Kieu', 'Kien Do', 'Toan Nguyen', 'Dang Nguyen', 'Thin Nguyen']","['Applied Artificial Intelligence Initiative, Deakin University', 'Applied Artificial Intelligence Initiative, Deakin University', 'Applied Artificial Intelligence Initiative, Deakin University', 'Applied Artificial Intelligence Initiative, Deakin University', 'Applied Artificial Intelligence Initiative, Deakin University']"
BiQAP: Neural Bi-level Optimization-based Framework for Solving Quadratic Assignment Problems,https://doi.org/10.1145/3711896.3736859,"['Liangliang Shi', 'Haoran Zhang', 'Shuheng Shen', 'Changhua Meng', 'Weiqiang Wang', 'Junchi Yan']","['Shanghai Institute for Mathematics and Interdisciplinary Sciences', 'Shanghai Jiao Tong University', 'Ant Group', 'Ant Group', 'Ant Group', 'School of Artificial Intelligence, Shanghai Jiao Tong University']"
BLAST: Balanced Sampling Time Series Corpus for Universal Forecasting Models,https://doi.org/10.1145/3711896.3736860,"['Zezhi Shao', 'Yujie Li', 'Fei Wang', 'Chengqing Yu', 'Yisong Fu', 'Tangwen Qian', 'Bin Xu', 'Boyu Diao', 'Yongjun Xu', 'Xueqi Cheng']","['Institute of Computing Technology, Chinese Academy of Sciences,State Key Laboratory of AI Safety', 'Institute of Computing Technology, Chinese Academy of Sciences,State Key Laboratory of AI Safety', 'Institute of Computing Technology, Chinese Academy of Sciences,State Key Laboratory of AI Safety', 'Institute of Computing Technology, Chinese Academy of Sciences,State Key Laboratory of AI Safety', 'Institute of Computing Technology, Chinese Academy of Sciences,State Key Laboratory of AI Safety', 'Institute of Computing Technology, Chinese Academy of Sciences,State Key Laboratory of AI Safety', 'Institute of Computing Technology, Chinese Academy of Sciences,State Key Laboratory of AI Safety', 'Institute of Computing Technology, Chinese Academy of Sciences,State Key Laboratory of AI Safety', 'Institute of Computing Technology, Chinese Academy of Sciences,State Key Laboratory of AI Safety', 'Institute of Computing Technology, Chinese Academy of Sciences,State Key Laboratory of AI Safety']"
Blurred Encoding for Trajectory Representation Learning,https://doi.org/10.1145/3711896.3736861,"['Silin Zhou', 'Yao Chen', 'Shuo Shang', 'Lisi Chen', 'Bingsheng He', 'Ryosuke Shibasaki']","['University of Electronic Science and Technology of China', 'National University of Singapore', 'University of Electronic Science and Technology of China', 'University of Electronic Science and Technology of China', 'National University of Singapore', 'LocationMind Inc.']"
Boosting Bot Detection via Heterophily-Aware Representation Learning and Prototype-Guided Cluster Discovery,https://doi.org/10.1145/3711896.3736862,"['Buyun He', 'Xiaorui Jiang', 'Qi Wu', 'Hao Liu', 'Yingguang Yang', 'Yong Liao']","['University of Science and Technology of China', 'University of Science and Technology of China', 'University of Science and Technology of China', 'University of Science and Technology of China', 'University of Science and Technology of China', 'University of Science and Technology of China']"
