title,author,doi,affiliation
Refining Labeling Functions with Limited Labeled Data,Chenjie Li (University of Illinois at Chicago); Amir Gilad (Hebrew University); Boris Glavic (University of Illinois at Chicago); Zhengjie Miao (Simon Fraser University); Sudeepa Roy (Duke University),https://doi.org/10.1145/3711896.3737102,University of Illinois at Chicago; Hebrew University; University of Illinois at Chicago; Simon Fraser University; Duke University
Rethinking Learner Modeling: A Feedback-Centric Cognitive Disentanglement Perspective,"Xiaoshan Yu (School of Artificial Intelligence, Anhui University); Shangshang Yang (School of Computer Science and Technology, Anhui University); Jian Li (School of Artificial Intelligence, Anhui University); Ziwen Wang (School of Computer Science and Technology, Anhui University); Chuan Qin (Computer Network Information Center, Chinese Academy of Sciences,University of Chinese Academy of Sciences); Haiping Ma (State Key Laboratory of Opto-Electronic Information Acquisition and Protection Technology, Anhui University,Institutes of Physical Science and Information Technology, Anhui University); Xingyi Zhang (School of Computer Science and Technology, Anhui University)",https://doi.org/10.1145/3711896.3737103,Anhui University; Anhui University; Anhui University; Anhui University; Chinese Academy of Sciences; Anhui University; Anhui University
Retrieving Intent-covering Demonstrations for Clarification Generation in Conversational Search Systems,"Ziliang Zhao (Gaoling School of Artificial Intelligence, Renmin University of China); Changle Qu (Gaoling School of Artificial Intelligence, Renmin University of China); Zhicheng Dou (Gaoling School of Artificial Intelligence, Renmin University of China); Haonan Chen (Gaoling School of Artificial Intelligence, Renmin University of China); Jiajie Jin (Gaoling School of Artificial Intelligence, Renmin University of China)",https://doi.org/10.1145/3711896.3737104,Renmin University of China
Revisiting Clustering of Neural Bandits: Selective Reinitialization for Mitigating Loss of Plasticity,"Zhiyuan Su (Gaoling School of Artificial Intelligence, Renmin University of China); Sunhao Dai (Gaoling School of Artificial Intelligence, Renmin University of China); Xiao Zhang (Gaoling School of Artificial Intelligence, Renmin University of China)",https://doi.org/10.1145/3711896.3737105,Renmin University of China
Revisiting Feature Interactions from the Perspective of Quadratic Neural Networks for Click-through Rate Prediction,Honghao Li (Anhui University); Yiwen Zhang (Anhui University); Yi Zhang (Anhui University); Lei Sang (Anhui University); Jieming Zhu (Huawei Noah’s Ark Lab),https://doi.org/10.1145/3711896.3737106,Anhui University; Anhui University; Anhui University; Anhui University; Huawei Noah’s Ark Lab
Revisiting Graph Adversarial Attack: A Perspective of Budget Optimization,"Xiangchao Wen (School of Computer Science and Engineering, University of Electronic Science and Technology of China (UESTC)); Zhen Liu (School of Computer Science and Engineering, University of Electronic Science and Technology of China (UESTC)); Yuxin You (School of Computer Science and Engineering, University of Electronic Science and Technology of China (UESTC))",https://doi.org/10.1145/3711896.3737107,UESTC; UESTC; UESTC
Revisiting Self-Attention for Cross-Domain Sequential Recommendation,Clark Mingxuan Ju (Snap Inc.); Leonardo Neves (Snap Inc.); Bhuvesh Kumar (Snap Inc.); Liam Collins (Snap Inc.); Tong Zhao (Snap Inc.); Yuwei Qiu (Snap Inc.); Qing Dou (Snap Inc.); Sohail Nizam (Snap Inc.); Sen Yang (Snap Inc.); Neil Shah (Snap Inc.),https://doi.org/10.1145/3711896.3737108,Snap Inc.
Rewarding Graph Reasoning Process makes LLMs more Generalized Reasoners,Miao Peng (The Hong Kong University of Science and Technology (Guangzhou)); Nuo Chen (The Hong Kong University of Science and Technology (Guangzhou)); Zongrui Suo (The Hong Kong University of Science and Technology (Guangzhou)); Jia Li (The Hong Kong University of Science and Technology (Guangzhou)),https://doi.org/10.1145/3711896.3737109,HKUST (GZ)
Robust and Explainable Detector of Time Series Anomaly via Augmenting Multiclass Pseudo-Anomalies,"Kohei Obata (SANKEN, University of Osaka); Yasuko Matsubara (SANKEN, University of Osaka); Yasushi Sakurai (SANKEN, University of Osaka)",https://doi.org/10.1145/3711896.3737110,"SANKEN, University of Osaka"
Robust Data-Driven Auction Design,"Qilong Lin (School of Computer Science, Shanghai Jiao Tong University); Yangsu Liu (Alimama, Alibaba Group); Dagui Chen (Alimama, Alibaba Group); Zhenzhe Zheng (School of Computer Science, Shanghai Jiaotong University); Jian Xu (Alimama, Alibaba Group); Bo Zheng (Alibaba Group); Fan Wu (School of Computer Science, Shanghai Jiao Tong University); Guihai Chen (Department of Computer Science, Shanghai Jiao Tong University)",https://doi.org/10.1145/3711896.3737111,Shanghai Jiao Tong University; Alibaba Group; Alibaba Group; Shanghai Jiao Tong University; Alibaba Group; Alibaba Group; Shanghai Jiao Tong University; Shanghai Jiao Tong University
