date,start_time,type,title,url,end_time
WED 3 DEC,4:30 p.m.,Expo Talk Panel,The Co-X Framework: Versatile AI Agents for Automating and Augmenting Professional Workflows,https://neurips.cc/virtual/2025/128666,5:30 PM
WED 3 DEC,4:30 p.m.,Expo Talk Panel,"Frontier Open-Weight Models: Building Transparent, Secure, and Sovereign AI",https://neurips.cc/virtual/2025/128664,5:30 PM
WED 3 DEC,4:30 p.m.,Expo Talk Panel,"Juries, Not Judges! Industry-Scale Evaluation of Trustworthy AI via Dynamic LLM Panels",https://neurips.cc/virtual/2025/128660,5:30 PM
WED 3 DEC,4:30 p.m.,Expo Talk Panel,Cosmos World Foundation Model Platform for Physical AI,https://neurips.cc/virtual/2025/128663,5:30 PM
THU 4 DEC,8:30 a.m.,Invited Talk,The Art of (Artificial) Reasoning,https://neurips.cc/virtual/2025/invited-talk/109603,9:30 AM
THU 4 DEC,2:30 p.m.,Invited Talk,"On the Science of “Alien Intelligences”: Evaluating Cognitive Capabilities in Babies, Animals, and AI",https://neurips.cc/virtual/2025/invited-talk/109607,3:30 PM
FRI 5 DEC,8:30 a.m.,Invited Talk,From Benchmarks to Problems - A Perspective on Problem Finding in AI,https://neurips.cc/virtual/2025/invited-talk/109605,9:30 AM
FRI 5 DEC,2:30 p.m.,Invited Talk,Demystifying depth: Principles of learning in deep neural networks,https://neurips.cc/virtual/2025/invited-talk/109602,3:30 PM
SAT 6 DEC,8 a.m.,Workshop,Embodied World Models for Decision Making,https://neurips.cc/virtual/2025/workshop/109532,5:00 PM
SAT 6 DEC,8 a.m.,Workshop,Differentiable Learning of Combinatorial Algorithms: From Theory To Practice,https://neurips.cc/virtual/2025/workshop/109535,5:00 PM
SAT 6 DEC,8 a.m.,Workshop,ML for Systems,https://neurips.cc/virtual/2025/workshop/109537,5:00 PM
SAT 6 DEC,8 a.m.,Workshop,AI4Mat-NeurIPS-2025: NeurIPS 2025 Workshop on AI for Accelerated Materials Design,https://neurips.cc/virtual/2025/workshop/109538,5:00 PM
SAT 6 DEC,8 a.m.,Workshop,Workshop on Multi-Turn Interactions in Large Language Models,https://neurips.cc/virtual/2025/workshop/109539,5:00 PM
SAT 6 DEC,8 a.m.,Workshop,"Dynamics at the Frontiers of Optimization, Sampling, and Games",https://neurips.cc/virtual/2025/workshop/109541,5:00 PM
SAT 6 DEC,8 a.m.,Workshop,Second Workshop on Aligning Reinforcement Learning Experimentalists and Theorists (ARLET),https://neurips.cc/virtual/2025/workshop/109542,5:00 PM
SAT 6 DEC,8 a.m.,Workshop,AI Virtual Cells and Instruments: A New Era in Drug Discovery and Development,https://neurips.cc/virtual/2025/workshop/109543,5:00 PM
SAT 6 DEC,8 a.m.,Workshop,GenProCC: 1st Workshop on Generative and Protective AI for Content Creation,https://neurips.cc/virtual/2025/workshop/109545,5:00 PM
SAT 6 DEC,8 a.m.,Workshop,What Makes a Good Video: Next Practices in Video Generation and Evaluation,https://neurips.cc/virtual/2025/workshop/109548,5:00 PM
SAT 6 DEC,8 a.m.,Workshop,CauScien: Uncovering Causality in Science,https://neurips.cc/virtual/2025/workshop/109550,5:00 PM
SAT 6 DEC,8 a.m.,Workshop,UniReps: Unifying Representations in Neural Models,https://neurips.cc/virtual/2025/workshop/109553,5:00 PM
SAT 6 DEC,8 a.m.,Workshop,ML x OR: Mathematical Foundations and Operational Integration of Machine Learning for Uncertainty-Aware Decision-Making,https://neurips.cc/virtual/2025/workshop/109555,5:00 PM
SAT 6 DEC,8 a.m.,Workshop,The First Workshop on Efficient Reasoning,https://neurips.cc/virtual/2025/workshop/109556,5:00 PM
SAT 6 DEC,8 a.m.,Workshop,Imageomics: Discovering Biological Knowledge from Images Using AI,https://neurips.cc/virtual/2025/workshop/109558,5:00 PM
SAT 6 DEC,8 a.m.,Workshop,Deep Learning for Code in the Agentic Era,https://neurips.cc/virtual/2025/workshop/109562,5:00 PM
SAT 6 DEC,8 a.m.,Workshop,Generative AI in Finance,https://neurips.cc/virtual/2025/workshop/109564,5:00 PM
SAT 6 DEC,8 a.m.,Workshop,MATH-AI: The 5th Workshop on Mathematical Reasoning and AI,https://neurips.cc/virtual/2025/workshop/109565,5:00 PM
SAT 6 DEC,8 a.m.,Workshop,"The Second Workshop on GenAI for Health: Potential, Trust, and Policy Compliance",https://neurips.cc/virtual/2025/workshop/109566,5:00 PM
SAT 6 DEC,8 a.m.,Workshop,Algorithmic Collective Action,https://neurips.cc/virtual/2025/workshop/109567,5:00 PM
SAT 6 DEC,8 a.m.,Workshop,"Lock-LLM Workshop: Prevent Unauthorized Knowledge Use from Large Language Models - Deep Dive into Un-Distillate, Un-Finetunable, Un-Compressible, Un-Editable, and Un-Usable",https://neurips.cc/virtual/2025/workshop/109568,5:00 PM
SAT 6 DEC,8 a.m.,Workshop,Structured Probabilistic Inference and Generative Modeling,https://neurips.cc/virtual/2025/workshop/109570,5:00 PM
SAT 6 DEC,8 a.m.,Workshop,Foundation Models for the Brain and Body Workshop,https://neurips.cc/virtual/2025/workshop/109571,5:00 PM
SAT 6 DEC,8 a.m.,Workshop,Biosecurity Safeguards for Generative AI,https://neurips.cc/virtual/2025/workshop/109573,5:00 PM
SAT 6 DEC,8 a.m.,Workshop,AI and ML for Next-Generation Wireless Communications and Networking (AI4NextG @ NeurIPS’25),https://neurips.cc/virtual/2025/workshop/109576,5:00 PM
SAT 6 DEC,8 a.m.,Workshop,Machine Learning and the Physical Sciences,https://neurips.cc/virtual/2025/workshop/109577,5:00 PM
SAT 6 DEC,8 a.m.,Workshop,Reliable ML from Unreliable Data,https://neurips.cc/virtual/2025/workshop/109580,5:00 PM
SAT 6 DEC,8 a.m.,Workshop,OPT 2025: Optimization for Machine Learning,https://neurips.cc/virtual/2025/workshop/109581,5:00 PM
SAT 6 DEC,8 a.m.,Workshop,AI for non-human animal communication,https://neurips.cc/virtual/2025/workshop/109586,5:00 PM
SUN 7 DEC,8 a.m.,Workshop,Constrained Optimization for Machine Learning,https://neurips.cc/virtual/2025/workshop/109533,5:00 PM
SUN 7 DEC,8 a.m.,Workshop,Artificial Intelligence for Music: Where Creativity Meets Computation,https://neurips.cc/virtual/2025/workshop/109534,5:00 PM
SUN 7 DEC,8 a.m.,Workshop,2nd  Workshop on Multi-modal Foundation Models and Large Language Models  for Life Sciences,https://neurips.cc/virtual/2025/workshop/109536,5:00 PM
SUN 7 DEC,8 a.m.,Workshop,Workshop on Scaling Environments for Agents,https://neurips.cc/virtual/2025/workshop/109540,5:00 PM
SUN 7 DEC,8 a.m.,Workshop,CogInterp: Interpreting Cognition in Deep Learning Models,https://neurips.cc/virtual/2025/workshop/109544,5:00 PM
SUN 7 DEC,8 a.m.,Workshop,"NeurIPS 2025 Workshop on Space in Vision, Language, and Embodied AI",https://neurips.cc/virtual/2025/workshop/109546,5:00 PM
SUN 7 DEC,8 a.m.,Workshop,Workshop on Mechanistic Interpretability,https://neurips.cc/virtual/2025/workshop/109547,5:00 PM
SUN 7 DEC,8 a.m.,Workshop,"Evaluating the Evolving LLM Lifecycle:  Benchmarks, Emergent Abilities, and Scaling",https://neurips.cc/virtual/2025/workshop/109549,5:00 PM
SUN 7 DEC,8 a.m.,Workshop,Symmetry and Geometry in Neural Representations,https://neurips.cc/virtual/2025/workshop/109551,5:00 PM
SUN 7 DEC,8 a.m.,Workshop,"LAW 2025: Bridging Language, Agent, and World Models for Reasoning and Planning",https://neurips.cc/virtual/2025/workshop/109552,5:00 PM
SUN 7 DEC,8 a.m.,Workshop,GPU-Accelerated and Scalable Optimization (ScaleOpt),https://neurips.cc/virtual/2025/workshop/109554,5:00 PM
SUN 7 DEC,8 a.m.,Workshop,Data on the Brain and Mind,https://neurips.cc/virtual/2025/workshop/109557,5:00 PM
SUN 7 DEC,8 a.m.,Workshop,Foundations of Reasoning in Language Models,https://neurips.cc/virtual/2025/workshop/109559,5:00 PM
SUN 7 DEC,8 a.m.,Workshop,Learning from Time-Series for Health,https://neurips.cc/virtual/2025/workshop/109560,5:00 PM
SUN 7 DEC,8 a.m.,Workshop,Multimodal Algorithmic Reasoning Workshop,https://neurips.cc/virtual/2025/workshop/109561,5:00 PM
SUN 7 DEC,8 a.m.,Workshop,Learning to Sense (L2S),https://neurips.cc/virtual/2025/workshop/109563,5:00 PM
SUN 7 DEC,8 a.m.,Workshop,What Can('t) Transformers Do?,https://neurips.cc/virtual/2025/workshop/109569,5:00 PM
SUN 7 DEC,8 a.m.,Workshop,Frontiers in Probabilistic Inference: Learning meets Sampling,https://neurips.cc/virtual/2025/workshop/109572,5:00 PM
SUN 7 DEC,8 a.m.,Workshop,Tackling Climate Change with Machine Learning,https://neurips.cc/virtual/2025/workshop/109574,5:00 PM
SUN 7 DEC,8 a.m.,Workshop,Regulatable ML: Towards Bridging the Gaps between Machine Learning Research and Regulations,https://neurips.cc/virtual/2025/workshop/109575,5:00 PM
SUN 7 DEC,8 a.m.,Workshop,AI for Science: The Reach and Limits of AI for Scientific Discovery,https://neurips.cc/virtual/2025/workshop/109578,5:00 PM
SUN 7 DEC,8 a.m.,Workshop,New Perspectives in Graph Machine Learning,https://neurips.cc/virtual/2025/workshop/109579,5:00 PM
SUN 7 DEC,8 a.m.,Workshop,Non-Euclidean Foundation Models and Geometric Learning: Advancing AI Beyond Euclidean Frameworks,https://neurips.cc/virtual/2025/workshop/109582,5:00 PM
SUN 7 DEC,8 a.m.,Workshop,UrbanAI: Harnessing Artificial Intelligence for Smart Cities,https://neurips.cc/virtual/2025/workshop/109583,5:00 PM
SUN 7 DEC,8 a.m.,Workshop,AI That Keeps Up: Workshop on Continual and Compatible Foundation Model Updates (CCFM),https://neurips.cc/virtual/2025/workshop/109584,5:00 PM
SUN 7 DEC,8 a.m.,Workshop,Recent Advances in Time Series Foundation Models: Have We Reached the ‘BERT Moment’?,https://neurips.cc/virtual/2025/workshop/109585,5:00 PM
